I_1,I_2,I_3,I_4,I_5,I_6,I_7
 4,-558091,3.10958e+11,6.98814e+17,6.99893e+17,4.89473e+35,-3.90286e+23,-1.03629e+31
 4,-1253.36,1.63965e+06,1.58317e+10,1.50919e+10,2.33281e+20,-1.9325e+13,4.35165e+17
 4,206.014,43616.7,7.55404e+06,4.31878e+06,2.45678e+13,9.01924e+08,-2.21953e+12
 4,173.034,68208.1,2.17484e+08,8.48673e+07,1.06015e+16,2.21644e+10,-4.53283e+15
 4,25.8858,414.721,2698.3,315.315,2214.1,-3902.3,290837
 4,24.2603,410.685,217.07,17.2848,-375.955,-175.379,-989.757
 4,214.228,43343,15765.5,47220.1,1.28774e+09,9.82315e+06,4.06688e+07
 5,-1.41076,0.816346,6.11035,43.5793,-111.673,-34.8842,702.314
 5,0.275595,0.159943,0.023266,0.0490246,0.000314804,-0.015601,-0.0016255
 5,-0.135372,0.506658,1.2687,2.51929,4.50379,-1.74864,0.0400536
 5,0.190042,0.0014925,0.00418587,4.11764e-05,1.66827e-08,1.58876e-06,-3.73112e-09
 5,0.195581,0.000108443,0.00471972,5.81048e-06,9.57172e-10,4.86768e-08,9.84766e-11
 5,-0.247915,0.166853,0.671652,1.58474,-0.520023,-0.499238,1.55006
 5,0.579582,0.22526,0.0537172,0.0327951,0.000402778,0.01073,0.00131623
 5,0.189674,0.000775238,0.00411898,1.33154e-05,2.78692e-09,3.47959e-07,1.399e-09
 5,0.194993,0.000215856,0.00421251,2.29047e-06,2.46945e-11,5.88025e-09,2.23627e-10
 5,-0.720202,0.209121,1.59346,8.55202,-23.5585,-2.99559,21.0156
 5,1.17242,0.0259649,1.66781,6.76426,-18.7355,0.296962,12.8517
 5,1.13756,0.0465473,1.0843,5.50965,-13.3722,0.101779,-1.59228
 5,0.81631,0.0189734,1.40916,1.62207,0.91327,0.0949047,-2.27597
 5,-3.35521,2.33171,10.2496,326.554,-13001.4,-498.502,13707.1
 5,0.19199,0.000434673,0.00483347,1.46117e-05,1.46628e-09,1.6975e-07,3.59563e-09
 5,-3.99462,4.59614,62.0856,490.875,16727.8,-1023.01,-84045.9
 5,0.193052,0.000141176,0.00400191,3.76767e-07,-2.4064e-12,3.25319e-09,-1.44307e-11
 5,-1.04252,0.451649,2.47127,21.6569,-66.2129,-12.3898,143.937
 5,0.192328,0.000633099,0.00497108,1.18247e-05,2.66839e-09,2.41447e-07,-1.04821e-09
 5,0.193413,9.12078e-05,0.00427696,1.30055e-06,8.96687e-11,1.18732e-08,-3.69844e-11
 5,0.195914,9.24493e-05,0.00479461,4.91151e-06,6.84572e-10,4.13143e-08,3.15321e-10
 5,0.586477,0.261696,0.0385532,0.0305594,0.000739934,0.0141797,0.000743479
 5,1.49259,0.380273,4.81,13.886,-39.1533,6.45572,-106.517
 5,0.1915,0.000642929,0.00486557,2.29956e-05,-3.97677e-09,-2.72334e-07,6.58415e-09
 5,-2.7698,3.19379,38.7814,203.201,5784.93,-338.769,17085.7
 6,0.180086,0.00131557,0.0026143,0.000264567,-2.17017e-07,-1.70494e-06,3.62894e-08
 6,0.216692,0.00668903,0.00604923,8.99974e-05,-9.3329e-09,1.00167e-06,6.5745e-08
 6,0.218241,0.00102501,0.00775695,0.000845363,-2.08261e-06,-2.53581e-05,5.90703e-07
 6,0.170899,0.000239978,0.00248202,0.000409525,3.3977e-07,-1.59235e-06,2.34576e-07
 6,-0.70867,18.5224,115.471,325.237,28148.3,-1083.36,56393.8
 6,0.203968,0.00778154,0.0045827,0.000553859,5.92408e-07,2.32896e-05,6.53957e-07
 6,2.38615,1.34664,0.0236315,7.36845,-2.50659,2.59407,1.78076
 6,0.218081,0.000991631,0.00810956,0.000574969,-1.15494e-06,-1.66507e-05,4.55595e-07
 6,-66.6619,755.483,57558.9,227214,5.12959e+09,-2.54903e+06,-2.54729e+10
 6,0.187943,0.0010867,0.00451459,0.000125354,-6.56132e-08,-4.05285e-06,-6.7732e-08
 6,0.152218,0.00101376,0.000211209,0.000617341,1.43373e-07,-1.59227e-05,1.70693e-07
 6,1.44383,0.41499,0.349845,0.680018,0.33106,-0.378612,-0.020265
 6,0.199046,0.283948,0.087751,0.374085,0.0639245,-0.165989,-0.0225247
 6,0.184924,0.00221248,0.00402455,0.000134432,-8.77289e-08,-6.31455e-06,-4.56193e-08
 6,0.186311,0.00200595,0.00412654,8.03972e-05,-4.6246e-08,-3.34387e-06,2.39256e-09
 6,-0.40766,0.218983,0.835481,8.3507,-6.63898,-3.26896,21.0345
 6,1.49512,0.613911,0.384987,4.06063,-3.98443,2.45441,3.14658
 6,0.186242,0.00161072,0.00422052,9.91334e-05,-5.31292e-08,-3.96561e-06,-3.59031e-08
 6,-70.8968,41.7349,14297.7,239698,1.18866e+10,-200477,-7.45759e+09
 6,0.393097,0.638188,0.369407,1.48109,-0.496072,1.09127,0.976782
 6,1.78682,0.783921,0.218587,9.26483,12.2046,5.37488,-4.98836
 6,0.275716,0.223871,0.0183186,0.155902,0.00635005,-0.0476775,-0.00539355
 6,2.81601,2.25238,0.701756,24.6299,-55.915,28.9653,85.7829
 6,0.175065,0.00215747,0.00207125,0.000420112,-3.91886e-07,4.91872e-08,-1.49547e-09
 6,1.96138,1.15881,5.91032,14.7466,84.7857,15.775,-108.466
 7,37.104,452.364,3246.57,1339.16,2.74876e+06,10537.4,491136
 7,139.9,13021.5,66969.2,9002.78,3.78019e+07,677124,2.178e+08
 7,72.2932,3193.6,107831,59182.7,4.7277e+09,3.27916e+06,3.90575e+07
 7,28.6567,319.145,3123.4,356.046,186836,4695.29,-325681
 7,50.4057,817.593,1828.95,18525.1,-1.02503e+08,496532,3.34752e+07
 7,6.65264,2043.45,5.70716e+06,856827,1.67128e+12,-3.81637e+07,-8.92681e+11
 7,49.8593,422.449,30398.4,11311,-2.07942e+08,221852,-2.73783e+07
 7,134.446,10395.3,50352.4,13298.3,3.1658e+08,1.28982e+06,1.34878e+08
 7,1.67066,0.69329,4.28928,2.93237,5.714,2.02776,8.68926
 7,5.92904,5.09386,1.37083,344.277,7371.92,768.112,-1261.95
 7,0.767979,0.720964,0.123741,0.257712,0.0422207,0.199625,-0.0183131
 7,0.986102,1.48678,0.75135,1.8429,1.86085,2.20543,-1.11354
 7,-92.7497,9608.36,4.5931e+06,4.20498e+06,1.84791e+13,-4.12176e+08,1.67101e+11
 7,2.39835,10.0013,5.18022,3.62364,8.21917,8.99933,13.3763
 7,-1.04908,0.872157,19.5915,35.7876,947.474,-32.4052,-16.3358
 7,1.52398,1.90149,0.277564,0.127406,0.017982,0.154697,-0.0158329
 7,6.86858,64.3438,14.2494,0.136364,0.0251225,-1.04948,0.188418
 7,13.5368,77.4258,143.522,69.3898,59.8416,468.44,-6924.47
 7,2.66979,4.27296,31.3008,43.2492,1573.2,88.444,239.144
 7,36.6183,1208.77,1.38132e+06,2.42261e+06,4.08209e+12,3.77523e+07,-1.72529e+12
 7,54.1557,6442.69,1.51874e+06,165901,-1.3551e+10,9.75661e+06,8.2165e+10
 7,0.236374,0.663631,0.0902624,0.38775,-0.0383888,-0.301292,0.0615504
 7,25.2029,258.878,2059.34,186.754,-106841,-1924.95,-44702.1
 7,67.0381,2528.59,19107.5,30882.9,6.45813e+08,1.53997e+06,3.81749e+08
 7,-0.993705,4.45005,61.8169,47.8195,2591.33,-93.5908,-211.271
 8,392.51,141447,4.19668e+07,4.28466e+07,1.81684e+15,1.61141e+10,1.20934e+13
 8,102.536,8892.07,2665.39,3398.72,9.99714e+06,307891,-2.16789e+06
