laplaceOperator,I_1T,I_2T,I_3T,I_4T,I_5T,I_6T,I_7T,circle_5_10,circle_10_20,circle_20_40,circle_20_32
 0,1.03492e+06,0.0074106,3.01254e-10,1.62873e-10,1.71245e-10,-2.63509e-20,-1.17463e-15,-1.11147e-20,4488,23930,36618,16028
 0,1.03677e+06,0.00759726,8.34643e-08,6.92789e-10,3.62907e-10,1.37321e-19,-8.78407e-14,-1.19394e-19,4864,24352,37034,15892
 0,1.03499e+06,0.00957891,1.49378e-08,3.62702e-09,2.63446e-10,-2.36047e-19,6.6067e-15,-1.02949e-19,4774,23206,36502,15652
 0,1.0358e+06,0.00604028,2.42579e-08,9.49581e-10,2.30431e-10,7.99318e-20,-3.49741e-14,-7.23157e-20,4938,24574,37872,16072
 0,1.03533e+06,0.00689606,2.57295e-09,2.88059e-10,2.29851e-10,-2.17642e-20,1.15414e-14,5.49937e-20,4964,24202,38038,16460
 0,1.03457e+06,0.00562063,1.12544e-07,6.58865e-10,2.0393e-10,2.79982e-21,-6.17071e-14,7.46991e-20,4976,24484,38920,16768
 0,1.03533e+06,0.00648252,2.89455e-08,5.84624e-10,2.75218e-10,1.04939e-19,5.08081e-15,3.42794e-20,4804,24120,38396,16334
 0,1.03508e+06,0.00729042,7.4275e-09,6.62286e-11,2.02038e-10,2.32037e-20,-1.46827e-14,2.79001e-21,4732,24076,38144,15880
 0,906557,0.00244079,5.89634e-09,2.17502e-12,7.13967e-12,1.85203e-23,-1.17189e-16,-2.11798e-23,5078,26012,43298,16586
 0,862697,0.00213768,5.00463e-09,1.38277e-11,3.0741e-13,1.91913e-25,2.07507e-17,-6.04045e-25,5128,26450,42314,16568
 0,904262,0.00237314,5.20104e-09,1.67908e-11,8.7851e-13,-3.03351e-24,5.76799e-17,-1.47724e-24,5090,26064,41700,16662
 0,856832,0.002144,1.03651e-09,4.91646e-12,7.77234e-13,1.45265e-24,-1.36792e-19,4.45171e-25,4888,25970,42646,16646
 0,928232,0.00262555,1.16675e-09,2.68043e-11,1.01274e-11,-3.81908e-23,2.96828e-16,-1.62429e-22,5078,25740,41996,16520
 0,928487,0.00269672,1.37352e-08,2.20212e-11,4.14691e-12,3.71053e-23,1.00495e-16,-1.39145e-23,5080,25974,42048,16858
 0,903242,0.00242159,9.38871e-09,7.9406e-12,6.03799e-13,3.24698e-25,-4.66774e-17,-1.28161e-24,4986,25750,42406,16780
 0,902477,0.00253511,2.18325e-09,1.1574e-11,7.89458e-12,-4.69586e-23,3.5554e-16,-5.9073e-23,5034,25728,41648,16890
 0,899927,0.0024645,1.55153e-08,2.28687e-11,3.55831e-12,2.69005e-23,3.56888e-17,1.75123e-23,4912,25722,41904,16544
 0,949907,0.00283049,2.51714e-09,3.77936e-12,4.73284e-12,-1.00316e-23,-2.37449e-16,-1.73215e-23,5190,25464,41782,16812
 0,1.03482e+06,0.0060184,2.95836e-08,1.15451e-09,1.62615e-10,-2.97007e-20,2.42293e-14,6.3894e-20,4872,24682,37836,16550
 0,1.03176e+06,0.00582949,6.1011e-08,8.90385e-10,4.72876e-10,-1.53916e-19,5.21062e-14,2.65443e-19,4996,24712,38562,16688
 0,1.0338e+06,0.00553907,3.55021e-08,6.29329e-10,3.38642e-10,1.09044e-19,-6.21677e-14,-1.12024e-19,5022,24932,37712,16272
 0,1.03406e+06,0.00604486,6.33424e-08,1.65124e-10,3.51523e-10,1.61527e-20,7.43117e-14,8.31359e-20,4986,24290,38170,16558
 0,1.03406e+06,0.00688033,1.05636e-07,1.10366e-11,2.86447e-10,-1.6865e-21,6.91349e-14,1.60173e-20,5084,24230,37034,16276
 0,1.00193e+06,0.00353468,1.78024e-08,5.86349e-11,4.74952e-11,-1.0601e-21,-6.23151e-15,2.27119e-21,5090,25290,40260,16694
 0,1.00856e+06,0.00341056,2.08032e-09,1.85556e-11,3.23508e-11,7.38987e-22,1.47459e-15,2.86603e-22,4876,25662,40116,16406
 0,1.01238e+06,0.00375211,1.69408e-08,1.59845e-10,6.32445e-11,-3.7436e-21,5.56588e-15,-5.14017e-21,5070,25564,40718,16876
 0,996572,0.0031885,5.45547e-09,4.45174e-12,1.3374e-12,2.88381e-24,-6.09683e-17,-1.52737e-24,4900,25392,40884,16248
 0,1.0236e+06,0.00400469,4.36419e-09,6.38278e-12,1.13176e-11,-6.01126e-23,2.37227e-16,7.5095e-23,4960,25044,39262,16022
 0,958577,0.00283824,4.90586e-09,2.66038e-11,4.3771e-11,1.38698e-21,1.36223e-15,5.54355e-22,5098,26074,42124,17038
 0,935117,0.0025732,1.16958e-08,4.30322e-11,2.4659e-13,3.81553e-25,-7.45014e-19,-7.06863e-25,5020,26232,41744,16968
 0,955772,0.00280127,1.48656e-08,1.05038e-11,6.05461e-12,-3.83486e-23,-7.33637e-16,2.93382e-23,5060,25868,42558,16968
 0,922367,0.00251555,9.50024e-09,1.01168e-11,1.66788e-12,-5.98578e-24,9.38619e-17,3.33312e-24,5008,25678,42178,16974
 0,974642,0.0029758,3.94153e-09,1.93512e-11,9.18706e-12,-3.64087e-23,4.96971e-16,1.16959e-22,5252,25868,41220,17092
 0,1.0338e+06,0.00604428,1.51206e-08,3.08766e-10,2.53708e-10,5.35974e-20,1.63491e-14,4.65799e-20,4874,24512,38866,16374
 0,1.03457e+06,0.00650877,2.68737e-08,6.54794e-10,2.34031e-10,9.13578e-20,2.29795e-14,6.84668e-21,4992,23320,38540,16254
